"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As an employee
  I want to view my personal information
  So that I can verify my details","3669","View personal details","","Fri Jan 03 14:22:06 UTC 2025","passed","Fri Jan 03 14:22:10 UTC 2025","","","",""
"As an employee
  I want to view and filter leave requests
  So that I can track leave status","28744","Filter and view leave requests","","Fri Jan 03 14:21:37 UTC 2025","failed","Fri Jan 03 14:22:06 UTC 2025","","","",""
"As an admin user
  I want to manage system users
  So that I can control system access","6419","Search for system users","","Fri Jan 03 14:21:02 UTC 2025","passed","Fri Jan 03 14:21:08 UTC 2025","","","",""
"","28960","Admin adds a new user","","Fri Jan 03 14:20:33 UTC 2025","passed","Fri Jan 03 14:21:02 UTC 2025","","","",""
